,TIPO,SERVICIO,ESTRATO,TOTAL_PERSONAS,SEXO,EDAD,PARENTESCO,PADRE,MADRE,D_01,D_02,D_03,D_04,D_05,D_06,D_07,D_08,D_09,D_10,D_11_A,D_11_B,D_11_C,D_11_D,D_11_E,D_11_F,D_11_G,D_11_H,D_11_I,D_11_J,D_11_K,D_11_L,D_11_M,D_11_N,D_12_A,D_12_A_A,D_12_B,D_12_B_A,D_12_C,D_12_C_A,D2_01,D2_03,D2_04,D2_05,D2_05_A,D2_06,D2_07,G_01,G_02,G_06_A,G_06_B,G_06_C,G_06_D,G_06_E,G_06_F,G_06_G,G_06_H,G_06_I,G_06_J,G_06_K,G_06_L,G_06_M,G_06_N,COD_REGION
0,1,1,3.0,4,2.0,56.0,2.0,2.0,2.0,2.0,4.0,0.0,0.0,0.0,1.0,3.0,4.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,9.0,2.0,9.0,2.0,9.0,9.0,3.0,2.0,7.0,706.0,1.0,2.0,2.0,2.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,1
1,1,1,2.0,3,2.0,62.0,1.0,2.0,2.0,2.0,4.0,0.0,0.0,0.0,1.0,3.0,2.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,9.0,2.0,9.0,2.0,9.0,1.0,4.0,4.0,1.0,100.0,1.0,2.0,2.0,2.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,1
2,2,1,3.0,4,1.0,54.0,1.0,3.0,2.0,1.0,1.0,8.0,1.0,48.0,1.0,1.0,4.0,2.0,2.0,4.0,4.0,2.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,9.0,2.0,9.0,2.0,9.0,9.0,2.0,1.0,5.0,511.0,1.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0,1.0,9.0,9.0,1.0,9.0,3.0,9.0,9.0,9.0,9.0,1
3,1,1,2.0,1,2.0,64.0,1.0,3.0,3.0,1.0,4.0,0.0,0.0,0.0,1.0,3.0,3.0,2.0,2.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,9.0,1.0,2.0,2.0,9.0,9.0,6.0,0.0,5.0,511.0,1.0,2.0,2.0,2.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,1
4,1,1,1.0,3,2.0,46.0,1.0,2.0,2.0,1.0,1.0,12.0,3.0,42.0,1.0,3.0,3.0,1.0,2.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,5.0,2.0,4.0,409.0,1.0,2.0,2.0,2.0,9.0,9.0,9.0,9.0,1.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,0
5,1,1,1.0,5,1.0,33.0,1.0,2.0,2.0,1.0,1.0,6.0,1.0,42.0,1.0,1.0,4.0,1.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,5.0,2.0,1.0,6.0,602.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,0
6,2,1,3.0,4,2.0,33.0,1.0,2.0,2.0,1.0,1.0,12.0,4.0,10.0,1.0,1.0,4.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,9.0,2.0,9.0,2.0,9.0,9.0,2.0,2.0,8.0,802.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0
7,2,1,3.0,1,2.0,27.0,1.0,2.0,2.0,1.0,1.0,12.0,1.0,40.0,1.0,1.0,3.0,2.0,2.0,4.0,4.0,2.0,2.0,4.0,2.0,2.0,5.0,4.0,3.0,5.0,5.0,5.0,5.0,1.0,2.0,2.0,9.0,2.0,9.0,9.0,6.0,0.0,7.0,704.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,1.0,9.0,1.0,1.0,0
8,1,1,3.0,4,1.0,31.0,3.0,2.0,1.0,1.0,1.0,12.0,1.0,45.0,1.0,1.0,4.0,2.0,2.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,9.0,2.0,9.0,2.0,9.0,9.0,2.0,0.0,6.0,602.0,1.0,1.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1
9,1,1,2.0,6,1.0,28.0,7.0,1.0,1.0,2.0,8.0,0.0,0.0,0.0,1.0,3.0,3.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,9.0,2.0,9.0,2.0,9.0,9.0,6.0,0.0,4.0,407.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0
10,2,1,2.0,6,2.0,16.0,3.0,1.0,1.0,2.0,3.0,0.0,0.0,0.0,1.0,3.0,3.0,1.0,1.0,4.0,4.0,3.0,2.0,4.0,4.0,3.0,4.0,3.0,2.0,4.0,2.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,6.0,0.0,4.0,409.0,5.0,5.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0
11,2,1,1.0,3,1.0,31.0,1.0,2.0,2.0,1.0,1.0,6.0,1.0,64.0,1.0,1.0,4.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,9.0,2.0,9.0,2.0,9.0,9.0,2.0,2.0,6.0,602.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4
12,2,1,3.0,3,2.0,41.0,2.0,2.0,2.0,1.0,1.0,6.0,4.0,60.0,1.0,1.0,4.0,2.0,2.0,4.0,4.0,3.0,3.0,4.0,2.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,4.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,3.0,1.0,7.0,702.0,1.0,2.0,2.0,2.0,3.0,9.0,9.0,9.0,1.0,9.0,9.0,2.0,2.0,9.0,9.0,9.0,9.0,9.0,4
13,1,1,1.0,4,1.0,39.0,1.0,3.0,3.0,1.0,1.0,4.0,4.0,50.0,1.0,1.0,4.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,9.0,2.0,9.0,2.0,9.0,9.0,2.0,2.0,3.0,305.0,1.0,1.0,2.0,1.0,1.0,9.0,1.0,1.0,1.0,1.0,1.0,9.0,1.0,1.0,9.0,9.0,9.0,9.0,4
14,1,1,3.0,2,2.0,64.0,2.0,3.0,3.0,1.0,4.0,0.0,0.0,0.0,1.0,3.0,3.0,1.0,1.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,1.0,1.0,1.0,1.0,2.0,9.0,1.0,2.0,5.0,3.0,305.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,9.0,1.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,4
15,2,1,1.0,3,1.0,21.0,5.0,2.0,2.0,2.0,1.0,10.0,1.0,16.0,1.0,1.0,5.0,1.0,1.0,4.0,2.0,2.0,3.0,4.0,1.0,2.0,4.0,2.0,4.0,4.0,2.0,3.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,9.0,6.0,0.0,5.0,511.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,4
16,1,1,1.0,3,2.0,40.0,3.0,2.0,1.0,1.0,1.0,12.0,1.0,56.0,1.0,3.0,3.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,9.0,2.0,9.0,2.0,9.0,9.0,5.0,2.0,5.0,511.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,9.0,9.0,1.0,1.0,3.0,9.0,9.0,9.0,9.0,4
17,2,1,2.0,2,2.0,28.0,2.0,2.0,2.0,1.0,1.0,12.0,4.0,25.0,2.0,9.0,4.0,2.0,2.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,1.0,2.0,9.0,1.0,1.0,9.0,1.0,0.0,6.0,602.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,0
18,1,1,2.0,6,1.0,24.0,3.0,2.0,1.0,1.0,1.0,6.0,1.0,72.0,1.0,3.0,4.0,2.0,2.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,6.0,0.0,6.0,604.0,1.0,1.0,2.0,1.0,1.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,4
19,1,1,1.0,4,2.0,18.0,3.0,1.0,1.0,2.0,4.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,4.0,3.0,3.0,2.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,6.0,0.0,5.0,511.0,1.0,2.0,1.0,1.0,1.0,9.0,3.0,3.0,1.0,9.0,3.0,3.0,9.0,2.0,3.0,3.0,2.0,3.0,4
20,1,1,1.0,8,2.0,33.0,10.0,2.0,2.0,1.0,1.0,7.0,1.0,48.0,1.0,1.0,4.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,9.0,2.0,9.0,2.0,9.0,9.0,5.0,3.0,3.0,305.0,1.0,2.0,2.0,2.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,4
21,1,1,1.0,3,2.0,27.0,1.0,2.0,2.0,1.0,1.0,6.0,4.0,9.0,1.0,3.0,3.0,2.0,2.0,3.0,4.0,5.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,4.0,4.0,1.0,2.0,2.0,9.0,2.0,9.0,9.0,6.0,3.0,5.0,511.0,1.0,2.0,2.0,2.0,2.0,9.0,9.0,9.0,1.0,9.0,9.0,1.0,9.0,9.0,9.0,9.0,9.0,9.0,4
22,1,1,1.0,4,2.0,61.0,1.0,2.0,2.0,1.0,1.0,12.0,1.0,40.0,1.0,1.0,3.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,2.0,9.0,9.0,1.0,2.0,4.0,401.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0
23,1,1,1.0,4,2.0,53.0,1.0,2.0,2.0,1.0,4.0,0.0,0.0,0.0,1.0,2.0,3.0,1.0,1.0,3.0,4.0,2.0,3.0,4.0,3.0,2.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,2.0,9.0,2.0,9.0,2.0,9.0,9.0,4.0,1.0,3.0,305.0,1.0,2.0,2.0,2.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,0
24,1,1,1.0,4,2.0,53.0,1.0,2.0,2.0,1.0,1.0,12.0,3.0,42.0,1.0,3.0,4.0,1.0,2.0,4.0,4.0,3.0,3.0,4.0,2.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,1.0,1.0,2.0,9.0,1.0,1.0,9.0,6.0,3.0,4.0,407.0,1.0,2.0,2.0,2.0,9.0,9.0,9.0,9.0,1.0,9.0,9.0,2.0,2.0,9.0,9.0,9.0,9.0,9.0,4
25,1,1,2.0,4,1.0,63.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,50.0,1.0,1.0,4.0,1.0,1.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,1.0,1.0,1.0,1.0,2.0,9.0,5.0,2.0,1.0,6.0,606.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0
26,1,1,3.0,4,2.0,31.0,3.0,1.0,1.0,1.0,1.0,12.0,1.0,48.0,1.0,1.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,6.0,1.0,7.0,705.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,9.0,1.0,1.0,1.0,1.0,9.0,9.0,9.0,1
27,1,1,1.0,11,1.0,58.0,8.0,3.0,3.0,1.0,1.0,8.0,4.0,40.0,1.0,3.0,4.0,1.0,1.0,4.0,3.0,2.0,3.0,4.0,4.0,2.0,4.0,4.0,2.0,4.0,3.0,4.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,9.0,3.0,3.0,3.0,305.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,9.0,9.0,9.0,1.0,9.0,9.0,9.0,9.0,4
28,3,1,1.0,1,1.0,18.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,16.0,1.0,1.0,4.0,2.0,2.0,4.0,3.0,4.0,3.0,4.0,2.0,3.0,3.0,4.0,2.0,3.0,4.0,4.0,4.0,1.0,1.0,2.0,9.0,2.0,9.0,9.0,6.0,0.0,6.0,602.0,1.0,1.0,2.0,1.0,9.0,9.0,9.0,9.0,1.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,4
29,1,1,3.0,4,2.0,61.0,1.0,2.0,2.0,1.0,1.0,7.0,1.0,54.0,1.0,3.0,4.0,1.0,1.0,3.0,5.0,5.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,2.0,1.0,1.0,1.0,1.0,9.0,4.0,6.0,3.0,301.0,1.0,2.0,2.0,1.0,2.0,3.0,3.0,9.0,9.0,9.0,9.0,1.0,1.0,9.0,9.0,9.0,9.0,9.0,1
30,2,1,1.0,5,2.0,29.0,10.0,2.0,2.0,1.0,1.0,12.0,4.0,60.0,1.0,3.0,4.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,9.0,2.0,9.0,2.0,9.0,5.0,1.0,0.0,6.0,601.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,9.0,1.0,5
31,1,1,1.0,5,1.0,22.0,3.0,1.0,1.0,2.0,1.0,12.0,4.0,40.0,1.0,3.0,4.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,1.0,2.0,9.0,2.0,9.0,5.0,1.0,0.0,3.0,305.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5
32,2,1,1.0,4,2.0,32.0,1.0,2.0,2.0,1.0,1.0,6.0,1.0,49.0,1.0,3.0,4.0,2.0,2.0,4.0,4.0,2.0,3.0,4.0,3.0,3.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,1.0,2.0,1.0,1.0,2.0,9.0,5.0,4.0,3.0,3.0,305.0,1.0,2.0,2.0,2.0,9.0,9.0,9.0,9.0,1.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,4
33,1,1,1.0,3,2.0,48.0,2.0,3.0,3.0,1.0,1.0,3.0,4.0,48.0,1.0,1.0,4.0,2.0,2.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,9.0,1.0,1.0,2.0,9.0,9.0,3.0,1.0,6.0,604.0,1.0,2.0,2.0,2.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,4
34,1,1,2.0,11,1.0,40.0,3.0,3.0,1.0,1.0,1.0,5.0,5.0,54.0,1.0,3.0,4.0,2.0,2.0,4.0,4.0,3.0,2.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,2.0,9.0,5.0,6.0,0.0,4.0,409.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,1.0,9.0,9.0,9.0,9.0,9.0,9.0,0
35,1,1,1.0,5,2.0,48.0,1.0,3.0,3.0,1.0,1.0,12.0,4.0,48.0,1.0,3.0,3.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,9.0,2.0,9.0,2.0,9.0,5.0,5.0,2.0,3.0,305.0,3.0,2.0,2.0,2.0,9.0,9.0,9.0,9.0,1.0,9.0,9.0,2.0,2.0,9.0,9.0,9.0,9.0,9.0,5
36,1,1,2.0,4,2.0,55.0,1.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,1.0,3.0,4.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,9.0,1.0,2.0,2.0,9.0,9.0,3.0,2.0,3.0,305.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0
37,2,1,1.0,3,2.0,19.0,2.0,2.0,2.0,2.0,3.0,0.0,0.0,0.0,1.0,3.0,4.0,2.0,2.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,1.0,2.0,1.0,2.0,2.0,9.0,1.0,1.0,0.0,6.0,601.0,1.0,2.0,2.0,1.0,1.0,9.0,9.0,9.0,1.0,9.0,9.0,1.0,1.0,9.0,9.0,9.0,9.0,9.0,4
38,2,1,2.0,1,1.0,40.0,1.0,2.0,2.0,1.0,1.0,6.0,5.0,72.0,1.0,1.0,4.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,2.0,2.0,9.0,2.0,9.0,9.0,5.0,0.0,7.0,705.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,9.0,2.0,9.0,9.0,2
39,3,1,2.0,2,2.0,30.0,1.0,2.0,2.0,1.0,1.0,6.0,4.0,30.0,2.0,9.0,4.0,2.0,2.0,4.0,4.0,4.0,2.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,2.0,9.0,2.0,9.0,2.0,9.0,9.0,3.0,1.0,7.0,710.0,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,9.0,9.0,9.0,9.0,9.0,1
40,1,1,3.0,6,2.0,30.0,2.0,3.0,1.0,1.0,1.0,8.0,1.0,40.0,1.0,1.0,2.0,1.0,2.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,2.0,2.0,9.0,2.0,9.0,9.0,2.0,3.0,7.0,705.0,1.0,2.0,1.0,2.0,3.0,3.0,3.0,3.0,1.0,3.0,9.0,1.0,1.0,3.0,3.0,9.0,9.0,9.0,1
41,1,1,3.0,2,1.0,41.0,3.0,3.0,1.0,1.0,8.0,0.0,0.0,0.0,1.0,1.0,4.0,1.0,2.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,9.0,3.0,1.0,5.0,511.0,1.0,1.0,2.0,2.0,1.0,9.0,1.0,9.0,1.0,1.0,9.0,9.0,9.0,9.0,9.0,9.0,3.0,3.0,1
42,1,1,2.0,7,2.0,51.0,3.0,2.0,1.0,2.0,4.0,0.0,0.0,0.0,1.0,1.0,3.0,1.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,9.0,1.0,1.0,2.0,9.0,9.0,5.0,0.0,5.0,511.0,1.0,2.0,1.0,2.0,1.0,1.0,9.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,9.0,2.0,0
43,1,1,3.0,2,2.0,50.0,1.0,3.0,2.0,1.0,4.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,1.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,9.0,1.0,1.0,2.0,9.0,9.0,5.0,2.0,5.0,511.0,1.0,2.0,1.0,2.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,1
44,2,1,2.0,1,1.0,34.0,1.0,2.0,3.0,1.0,1.0,6.0,4.0,72.0,1.0,3.0,4.0,2.0,2.0,4.0,4.0,4.0,2.0,4.0,2.0,3.0,4.0,5.0,3.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,2.0,9.0,9.0,6.0,0.0,8.0,806.0,1.0,1.0,2.0,1.0,1.0,3.0,1.0,3.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4
45,1,1,1.0,4,2.0,29.0,2.0,2.0,2.0,2.0,4.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,4.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,4.0,2.0,9.0,2.0,9.0,2.0,9.0,9.0,2.0,2.0,6.0,602.0,1.0,2.0,2.0,2.0,1.0,9.0,9.0,9.0,1.0,9.0,9.0,1.0,1.0,9.0,9.0,9.0,9.0,9.0,4
46,1,1,1.0,5,2.0,35.0,2.0,2.0,2.0,1.0,4.0,0.0,0.0,0.0,1.0,3.0,3.0,1.0,1.0,4.0,4.0,4.0,2.0,4.0,3.0,2.0,4.0,3.0,2.0,4.0,3.0,2.0,4.0,1.0,2.0,2.0,9.0,2.0,9.0,5.0,2.0,3.0,6.0,602.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,1.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,9.0,0
47,1,1,1.0,2,1.0,29.0,3.0,2.0,1.0,2.0,4.0,0.0,0.0,0.0,1.0,2.0,4.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,2.0,9.0,5.0,6.0,0.0,6.0,602.0,1.0,1.0,2.0,1.0,1.0,1.0,9.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0
48,1,1,1.0,3,1.0,32.0,1.0,2.0,2.0,2.0,1.0,5.0,1.0,51.0,1.0,1.0,4.0,2.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,2.0,9.0,9.0,1.0,1.0,6.0,601.0,1.0,1.0,2.0,2.0,9.0,9.0,9.0,9.0,1.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,4
49,1,1,3.0,3,2.0,40.0,2.0,2.0,2.0,1.0,1.0,12.0,1.0,48.0,1.0,1.0,4.0,2.0,2.0,5.0,3.0,3.0,3.0,4.0,3.0,3.0,5.0,4.0,3.0,4.0,4.0,4.0,4.0,1.0,2.0,1.0,1.0,2.0,9.0,9.0,3.0,1.0,6.0,602.0,1.0,2.0,2.0,2.0,9.0,9.0,9.0,9.0,3.0,9.0,9.0,2.0,9.0,9.0,9.0,9.0,9.0,9.0,1
50,2,1,1.0,4,2.0,51.0,6.0,2.0,2.0,2.0,1.0,7.0,1.0,77.0,1.0,3.0,3.0,1.0,2.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,9.0,2.0,9.0,2.0,9.0,9.0,5.0,3.0,5.0,511.0,1.0,2.0,2.0,2.0,2.0,9.0,2.0,9.0,1.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,4
51,1,1,3.0,3,1.0,65.0,1.0,3.0,2.0,1.0,6.0,0.0,0.0,0.0,1.0,2.0,4.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,2.0,9.0,9.0,3.0,5.0,5.0,511.0,1.0,1.0,2.0,2.0,3.0,3.0,3.0,9.0,3.0,9.0,9.0,9.0,3.0,9.0,9.0,9.0,9.0,9.0,1
52,1,1,3.0,4,1.0,22.0,3.0,1.0,1.0,2.0,1.0,12.0,4.0,40.0,1.0,1.0,4.0,2.0,1.0,4.0,3.0,4.0,2.0,4.0,1.0,1.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,1.0,2.0,1.0,2.0,1.0,1.0,5.0,6.0,0.0,7.0,704.0,1.0,1.0,2.0,1.0,1.0,9.0,3.0,9.0,9.0,1.0,2.0,9.0,9.0,2.0,2.0,2.0,2.0,9.0,0
53,1,1,3.0,4,2.0,15.0,5.0,2.0,2.0,2.0,3.0,0.0,0.0,0.0,1.0,1.0,4.0,2.0,2.0,4.0,4.0,5.0,5.0,4.0,2.0,2.0,4.0,2.0,3.0,4.0,3.0,3.0,4.0,1.0,9.0,1.0,2.0,1.0,9.0,9.0,6.0,0.0,4.0,408.0,5.0,5.0,2.0,1.0,1.0,1.0,3.0,3.0,9.0,3.0,9.0,1.0,1.0,3.0,3.0,9.0,9.0,9.0,1
54,1,1,2.0,5,2.0,39.0,3.0,1.0,1.0,1.0,4.0,0.0,0.0,0.0,1.0,3.0,4.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,5.0,1.0,6.0,604.0,1.0,2.0,2.0,2.0,1.0,9.0,9.0,9.0,1.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,0
