,TIPO,SERVICIO,ESTRATO,TOTAL_PERSONAS,SEXO,EDAD,PARENTESCO,PADRE,MADRE,D_01,D_02,D_03,D_04,D_05,D_06,D_07,D_08,D_09,D_10,D_11_A,D_11_B,D_11_C,D_11_D,D_11_E,D_11_F,D_11_G,D_11_H,D_11_I,D_11_J,D_11_K,D_11_L,D_11_M,D_11_N,D_12_A,D_12_A_A,D_12_B,D_12_B_A,D_12_C,D_12_C_A,D2_01,D2_03,D2_04,D2_05,D2_05_A,D2_06,D2_07,G_01,G_02,G_06_A,G_06_B,G_06_C,G_06_D,G_06_E,G_06_F,G_06_G,G_06_H,G_06_I,G_06_J,G_06_K,G_06_L,G_06_M,G_06_N,COD_REGION
8897,2,1,1.0,2,2.0,52.0,1.0,3.0,2.0,1.0,1.0,12.0,4.0,45.0,1.0,3.0,3.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,6.0,3.0,303.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,9.0,1.0,1.0,1.0,9.0,9.0,9.0,9.0,9.0,0
8898,1,1,1.0,3,2.0,51.0,1.0,2.0,2.0,1.0,1.0,12.0,4.0,56.0,1.0,1.0,4.0,2.0,2.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,5.0,2.0,5.0,511.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0
8899,1,1,1.0,4,2.0,31.0,2.0,2.0,2.0,2.0,4.0,0.0,0.0,0.0,1.0,3.0,4.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,9.0,2.0,9.0,2.0,9.0,9.0,3.0,2.0,6.0,602.0,1.0,2.0,2.0,2.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,0
8900,2,1,3.0,3,1.0,37.0,1.0,3.0,2.0,1.0,1.0,11.0,2.0,84.0,1.0,2.0,5.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,9.0,2.0,9.0,2.0,9.0,9.0,3.0,1.0,6.0,601.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4
8901,1,1,2.0,3,2.0,41.0,2.0,2.0,2.0,2.0,4.0,0.0,0.0,0.0,1.0,1.0,4.0,2.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,9.0,1.0,1.0,1.0,1.0,9.0,2.0,2.0,5.0,511.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,9.0,1.0,9.0,9.0,9.0,1.0,9.0,9.0,9.0,9.0,9.0,4
8902,3,1,2.0,2,2.0,52.0,1.0,3.0,3.0,1.0,1.0,12.0,3.0,24.0,1.0,3.0,4.0,2.0,2.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,2.0,9.0,1.0,6.0,2.0,4.0,407.0,1.0,2.0,2.0,2.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,5
8903,2,1,3.0,1,2.0,63.0,1.0,3.0,3.0,1.0,1.0,7.0,4.0,75.0,1.0,1.0,3.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,9.0,2.0,9.0,2.0,9.0,9.0,5.0,1.0,1.0,100.0,1.0,2.0,2.0,2.0,3.0,3.0,9.0,2.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0,2
8904,2,1,2.0,4,1.0,30.0,1.0,2.0,2.0,1.0,1.0,6.0,4.0,60.0,1.0,3.0,4.0,2.0,2.0,3.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,9.0,2.0,2.0,6.0,600.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,3.0,3.0,3.0,9.0,3.0,9.0,9.0,9.0,4
8905,2,1,1.0,1,1.0,29.0,1.0,2.0,2.0,1.0,1.0,8.0,4.0,125.0,1.0,3.0,4.0,1.0,2.0,2.0,3.0,2.0,3.0,4.0,4.0,4.0,3.0,3.0,2.0,3.0,4.0,4.0,4.0,2.0,9.0,2.0,9.0,2.0,9.0,9.0,2.0,2.0,5.0,511.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,9.0,1.0,1.0,9.0,2.0,9.0,9.0,9.0,9.0,9.0,9.0,4
8906,1,1,2.0,3,2.0,31.0,2.0,2.0,2.0,1.0,1.0,6.0,4.0,48.0,1.0,1.0,4.0,2.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,9.0,2.0,9.0,2.0,9.0,9.0,3.0,1.0,6.0,602.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,1.0,1.0,9.0,9.0,9.0,9.0,9.0,5
